gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00 1000   92  1.00  0.40 
    2   0.00   0.00  0.00  0.00 1020   83  1.00  0.40 
    3   0.00   0.00  0.01  0.00 1032   92  1.00  0.40 
    4  -0.00   0.00  0.02  0.00 1000  114  1.00  0.40 
    5  -0.00   0.00  0.03  0.00 1007   89  1.00  0.40 
    6  -0.00   0.00  0.04  0.00 1034  107  1.00  0.40 
    7  -0.00   0.00  0.04  0.00 1030   99  1.00  0.40 
    8   0.00   0.00  0.06  0.00  992  100  1.00  0.40 
    9   0.02   0.00  0.06  0.00  967   99  1.00  0.40 
   10   0.03   0.00  0.08  0.00  987   95  1.00  0.40 
   11   0.04   0.00  0.08  0.00 1024  101  1.00  0.40 
   12   0.04   0.00  0.10  0.00  988  102  1.00  0.40 
   13   0.03   0.00  0.11  0.00 1008   90  1.00  0.40 
   14   0.03   0.00  0.12  0.00  977   99  1.00  0.40 
   15   0.03   0.00  0.13  0.00  997   92  1.00  0.40 
   16   0.01   0.00  0.13  0.00  970  101  1.00  0.40 
   17   0.01   0.00  0.14  0.00 1011   95  1.00  0.40 
   18   0.02   0.00  0.15  0.00  970   95  1.00  0.40 
   19  -0.01   0.00  0.17  0.00 1029   99  1.00  0.40 
   20  -0.00   0.00  0.17  0.00 1001   94  1.00  0.40 
   21  -0.02   0.00  0.17  0.01  960  110  1.00  0.40 
   22  -0.01   0.00  0.18  0.00 1023  108  1.00  0.40 
   23  -0.03   0.00  0.20  0.00 1000  106  1.00  0.40 
   24  -0.05   0.00  0.20  0.00 1044   95  1.00  0.40 
   25  -0.05   0.00  0.20  0.00  985  108  1.00  0.40 
   26  -0.05   0.00  0.23  0.00 1026   95  1.00  0.40 
   27  -0.05   0.00  0.25  0.00  964  103  1.00  0.40 
   28  -0.06   0.00  0.27  0.00 1021  105  1.00  0.40 
   29  -0.06   0.00  0.27  0.00 1034   98  1.00  0.40 
   30  -0.11   0.00  0.29  0.00 1019   93  1.00  0.40 
   31  -0.15   0.00  0.32  0.00 1005  107  1.00  0.40 
   32  -0.12   0.00  0.33  0.00  989   93  1.00  0.40 
   33  -0.14   0.00  0.35  0.00 1024   98  1.00  0.40 
   34  -0.17   0.00  0.34  0.00 1027  101  1.00  0.40 
   35  -0.20   0.00  0.37  0.00 1023  103  1.00  0.40 
   36  -0.20   0.00  0.40  0.00 1004  100  1.00  0.40 
   37  -0.24   0.00  0.39  0.00  986   92  1.00  0.40 
   38  -0.27   0.00  0.40  0.00  983  107  1.00  0.40 
   39  -0.27   0.00  0.40  0.00 1015   97  1.00  0.40 
