// Initial random seed:
1617970180772

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00   94 1000  1.00  0.40 
    2   0.02   0.00  0.04  0.00   94 1008  1.00  0.40 
    3   0.07   0.00  0.13  0.00  100  977  1.00  0.40 
    4   0.12  -0.00  0.29  0.00  104 1024  1.00  0.40 
    5   0.22   0.00  0.51  0.00   99  972  1.00  0.40 
    6   0.31   0.00  0.73  0.01   98  981  1.00  0.40 
    7   0.40   0.00  0.83  0.01  108  996  1.00  0.40 
    8   0.50   0.01  0.89  0.01   96  979  1.00  0.40 
    9   0.67   0.01  0.88  0.02   90 1003  1.00  0.40 
   10   0.82   0.01  0.88  0.01  102 1014  1.00  0.40 
   11   1.00   0.01  0.87  0.02   98 1001  1.00  0.40 
   12   1.18   0.00  0.84  0.01  109 1018  1.00  0.40 
   13   1.32   0.00  0.84  0.01  104 1002  1.00  0.40 
   14   1.59   0.01  0.84  0.02  100  998  1.00  0.40 
   15   1.81   0.01  0.72  0.02  101 1000  1.00  0.40 
   16   1.85   0.01  0.73  0.03  112  985  1.00  0.40 
   17   1.98   0.02  0.65  0.04  111 1017  1.00  0.40 
   18   2.04   0.03  0.61  0.05   92 1004  1.00  0.40 
   19   2.04   0.03  0.62  0.07  106 1019  1.00  0.40 
   20   2.04   0.04  0.63  0.07   89  989  1.00  0.40 
   21   2.08   0.05  0.62  0.09  114 1013  1.00  0.40 
   22   2.07   0.07  0.60  0.11  101  968  1.00  0.40 
   23   2.09   0.11  0.56  0.15  109  992  1.00  0.40 
   24   2.12   0.14  0.53  0.17   91  962  1.00  0.40 
   25   2.11   0.16  0.53  0.19  107 1017  1.00  0.40 
#WARNING (Genome_Class::ExecuteMethod_removeMutations): removeMutations() should probably not be called from an late() event in a nonWF model; the removed mutation(s) will still influence fitness values until partway through the next generation.
   26   2.13   0.21  0.52  0.24   93  958  1.00  0.40 
   27   0.08   0.17  0.09  0.21   88 1029  1.00  0.40 
   28   0.17   0.14  0.18  0.18  103 1002  1.00  0.40 
   29   0.29   0.12  0.37  0.16   94  991  1.00  0.40 
   30   0.48   0.11  0.63  0.15  100 1028  1.00  0.40 
   31   0.52   0.13  0.71  0.16  116 1057  1.00  0.40 
   32   0.25   0.15  0.77  0.18  110  994  1.00  0.40 
   33  -0.07   0.17  0.81  0.20   97  996  1.00  0.40 
   34  -0.19   0.19  0.82  0.22  101  996  1.00  0.40 
   35  -0.48   0.19  0.85  0.23   94  989  1.00  0.40 
   36  -0.61   0.19  0.85  0.24   88 1009  1.00  0.40 
   37  -0.64   0.20  0.85  0.25   95  993  1.00  0.40 
   38  -0.75   0.20  0.86  0.25  106  982  1.00  0.40 
   39  -0.90   0.21  0.90  0.26   94  975  1.00  0.40 
   40  -0.94   0.21  0.91  0.27   94 1023  1.00  0.40 
   41  -1.32   0.20  0.91  0.26  101  976  1.00  0.40 
   42  -1.39   0.19  0.97  0.27   80 1005  1.00  0.40 
   43  -1.49   0.18  0.97  0.30   93  977  1.00  0.40 
   44  -1.62   0.16  1.06  0.30  114 1045  1.00  0.40 
   45  -1.76   0.11  1.09  0.31  113  975  1.00  0.40 
   46  -1.97   0.06  1.12  0.32   99 1028  1.00  0.40 
   47  -2.00  -0.02  1.12  0.33   90  987  1.00  0.40 
   48  -2.00  -0.09  1.14  0.35   92  986  1.00  0.40 
   49  -2.12  -0.17  1.22  0.37  105 1024  1.00  0.40 
   50  -2.23  -0.28  1.30  0.40   98 1027  1.00  0.40 
   51  -2.41  -0.40  1.38  0.45   92  977  1.00  0.40 
   52  -2.56  -0.54  1.41  0.51  106  993  1.00  0.40 
   53  -2.70  -0.65  1.45  0.54   95 1000  1.00  0.40 
   54  -2.85  -0.81  1.50  0.59  105  986  1.00  0.40 
   55  -3.01  -0.96  1.42  0.65   96 1039  1.00  0.40 
   56  -3.02  -1.15  1.38  0.73  100 1016  1.00  0.40 
   57  -3.14  -1.39  1.29  0.82  103  947  1.00  0.40 
   58  -3.33  -1.65  1.23  0.91   97  975  1.00  0.40 
   59  -3.44  -1.92  1.18  1.01   93 1006  1.00  0.40 
   60  -3.46  -2.25  1.19  1.12   99  993  1.00  0.40 
   61  -3.56  -2.53  1.14  1.21   89 1008  1.00  0.40 
   62  -3.56  -2.80  1.16  1.29   96  999  1.00  0.40 
   63  -3.53  -2.98  1.10  1.34  108 1000  1.00  0.40 
   64  -3.49  -3.14  1.14  1.37   93 1001  1.00  0.40 
   65  -3.31  -3.27  1.19  1.39   99  998  1.00  0.40 
   66  -3.15  -3.35  1.22  1.41   99 1007  1.00  0.40 
   67  -2.93  -3.41  1.24  1.40   96 1011  1.00  0.40 
   68  -2.61  -3.39  1.24  1.39   94 1002  1.00  0.40 
   69  -2.52  -3.36  1.20  1.38  101  995  1.00  0.40 
   70  -2.46  -3.33  1.21  1.38  107 1032  1.00  0.40 
   71  -2.23  -3.29  1.11  1.39   93 1046  1.00  0.40 
   72  -2.08  -3.21  1.03  1.37  101 1025  1.00  0.40 
   73  -2.05  -3.08  1.10  1.34  106 1009  1.00  0.40 
   74  -2.00  -2.93  1.02  1.33  110 1029  1.00  0.40 
   75  -2.07  -2.77  0.98  1.29  106 1010  1.00  0.40 
   76  -2.11  -2.61  1.01  1.24  113  996  1.00  0.40 
   77  -2.41  -2.48  1.18  1.22   97  952  1.00  0.40 
   78  -2.82  -2.41  1.30  1.20   97 1021  1.00  0.40 
   79  -3.27  -2.35  1.47  1.17   98 1018  1.00  0.40 
   80  -3.64  -2.31  1.53  1.17   90 1012  1.00  0.40 
   81  -3.97  -2.37  1.65  1.18  109  969  1.00  0.40 
   82  -4.13  -2.48  1.66  1.24   94 1030  1.00  0.40 
   83  -4.18  -2.61  1.69  1.27   93 1017  1.00  0.40 
   84  -4.40  -2.71  1.62  1.30  106 1004  1.00  0.40 
   85  -4.60  -2.87  1.61  1.33  103  992  1.00  0.40 
   86  -4.58  -3.08  1.61  1.37   96  997  1.00  0.40 
