// Initial random seed:
1618943443822

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00 1000 1000  1.00  0.40 
    2   0.00   0.00  0.01  0.00  988  990  1.00  0.40 
    3   0.01   0.00  0.01  0.00 1018 1037  1.00  0.40 
    4  -0.00   0.00  0.02  0.00 1015 1001  1.00  0.40 
    5  -0.01   0.00  0.03  0.00 1053 1009  1.00  0.40 
    6  -0.01  -0.00  0.03  0.00  983 1025  1.00  0.40 
    7  -0.01  -0.00  0.05  0.00 1028  953  1.00  0.40 
    8  -0.03  -0.00  0.08  0.00 1040 1018  1.00  0.40 
    9  -0.04  -0.00  0.12  0.00 1030 1015  1.00  0.40 
   10  -0.06   0.00  0.16  0.00  975  990  1.00  0.40 
   11  -0.11   0.00  0.24  0.00  991 1048  1.00  0.40 
   12  -0.12   0.00  0.34  0.00  985  952  1.00  0.40 
   13  -0.19   0.00  0.43  0.00  972 1004  1.00  0.40 
   14  -0.22   0.00  0.54  0.00  971 1036  1.00  0.40 
   15  -0.25   0.00  0.61  0.00 1028 1001  1.00  0.40 
   16  -0.26   0.00  0.70  0.00 1001 1006  1.00  0.40 
   17  -0.29   0.00  0.76  0.00 1000  996  1.00  0.40 
   18  -0.28   0.00  0.80  0.00  948 1006  1.00  0.40 
   19  -0.18   0.00  0.86  0.00  950  981  1.00  0.40 
   20  -0.20   0.00  0.88  0.00 1043 1020  1.00  0.40 
   21  -0.16   0.00  0.90  0.00 1033  978  1.00  0.40 
   22  -0.06   0.00  0.93  0.00 1002 1039  1.00  0.40 
   23  -0.06  -0.00  0.93  0.00  996  995  1.00  0.40 
   24  -0.03  -0.01  0.95  0.00  942 1013  1.00  0.40 
   25   0.04  -0.01  0.97  0.01  978 1011  1.00  0.40 
   26   0.17  -0.01  0.97  0.01  989  988  1.00  0.40 
   27   0.21  -0.01  0.96  0.01 1042  991  1.00  0.40 
   28   0.20  -0.01  0.98  0.01  987  986  1.00  0.40 
   29   0.23  -0.00  1.00  0.02  955  995  1.00  0.40 
   30   0.24   0.01  1.00  0.02  970 1001  1.00  0.40 
   31   0.39   0.02  1.00  0.03 1035  980  1.00  0.40 
   32   0.41   0.02  1.01  0.04 1022 1027  1.00  0.40 
   33   0.31   0.04  1.02  0.04  960  978  1.00  0.40 
   34   0.33   0.05  1.03  0.04  987 1010  1.00  0.40 
   35   0.42   0.04  1.04  0.05 1046  955  1.00  0.40 
   36   0.42   0.05  1.04  0.05 1006 1014  1.00  0.40 
   37   0.37   0.06  1.05  0.06  998  993  1.00  0.40 
   38   0.33   0.07  1.07  0.07  984 1004  1.00  0.40 
   39   0.31   0.08  1.10  0.07 1017 1049  1.00  0.40 
   40   0.18   0.09  1.12  0.08 1000  992  1.00  0.40 
   41   0.14   0.11  1.14  0.09  963 1004  1.00  0.40 
   42   0.11   0.13  1.16  0.11  981  987  1.00  0.40 
   43   0.05   0.14  1.16  0.13  982 1000  1.00  0.40 
   44   0.02   0.14  1.18  0.13  991 1024  1.00  0.40 
   45  -0.08   0.16  1.22  0.15  982  981  1.00  0.40 
   46   0.01   0.15  1.20  0.17 1015  998  1.00  0.40 
   47  -0.05   0.19  1.21  0.20 1005 1031  1.00  0.40 
   48  -0.10   0.21  1.25  0.23  973 1042  1.00  0.40 
   49  -0.12   0.23  1.27  0.25  999 1039  1.00  0.40 
   50  -0.06   0.26  1.29  0.29  978 1023  1.00  0.40 
   51   0.01   0.26  1.30  0.34  966  992  1.00  0.40 
   52   0.03   0.33  1.30  0.39  968 1021  1.00  0.40 
