initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00 1000  100  1.00  0.40 
    2   0.00   0.00  0.01  0.00 1023  103  1.00  0.40 
    3   0.00   0.00  0.01  0.00  992  100  1.00  0.40 
    4   0.00   0.00  0.02  0.00 1025  102  1.00  0.40 
    5  -0.00   0.00  0.04  0.00 1014   98  1.00  0.40 
    6  -0.01   0.00  0.05  0.00  989   96  1.00  0.40 
    7  -0.01   0.00  0.06  0.00 1009  110  1.00  0.40 
    8  -0.00   0.00  0.07  0.00  992   99  1.00  0.40 
    9  -0.00   0.00  0.09  0.00  971   97  1.00  0.40 
   10  -0.02   0.00  0.10  0.00  976  109  1.00  0.40 
   11  -0.02   0.00  0.10  0.00 1013   94  1.00  0.40 
   12   0.00   0.00  0.09  0.00  984   93  1.00  0.40 
   13   0.00   0.00  0.10  0.00 1010  107  1.00  0.40 
   14   0.01   0.00  0.11  0.00  996   90  1.00  0.40 
   15   0.03   0.00  0.13  0.00 1014   97  1.00  0.40 
   16   0.02   0.00  0.13  0.00 1008   89  1.00  0.40 
   17   0.03   0.00  0.13  0.00  986  100  1.00  0.40 
   18   0.02   0.00  0.14  0.00 1003  117  1.00  0.40 
   19   0.02   0.00  0.15  0.00  992   99  1.00  0.40 
   20   0.02   0.00  0.17  0.00  986  100  1.00  0.40 
   21   0.02   0.00  0.18  0.00 1008  103  1.00  0.40 
   22   0.02   0.00  0.20  0.00 1000   95  1.00  0.40 
   23   0.01   0.00  0.21  0.00 1007   98  1.00  0.40 
   24   0.02   0.01  0.21  0.03 1011  100  1.00  0.40 
   25   0.01   0.01  0.21  0.01 1052  104  1.00  0.40 
   26   0.00   0.00  0.24  0.00 1016   88  1.00  0.40 
   27  -0.01   0.00  0.25  0.00 1008   95  1.00  0.40 
   28  -0.00   0.00  0.25  0.00  993   94  1.00  0.40 
   29  -0.01   0.00  0.26  0.00  999  103  1.00  0.40 
   30  -0.01   0.00  0.28  0.00 1014  115  1.00  0.40 
   31   0.01   0.00  0.28  0.00 1037  105  1.00  0.40 
   32   0.03   0.00  0.29  0.00 1022  104  1.00  0.40 
   33   0.01   0.00  0.30  0.00 1006   93  1.00  0.40 
   34   0.00   0.00  0.32  0.00  993  102  1.00  0.40 
   35   0.03   0.01  0.33  0.01  991  115  1.00  0.40 
   36   0.03   0.00  0.35  0.00  973  102  1.00  0.40 
   37   0.01   0.00  0.34  0.00 1005   88  1.00  0.40 
   38   0.03   0.00  0.35  0.00  987  104  1.00  0.40 
   39   0.03   0.00  0.38  0.00  959   93  1.00  0.40 
   40   0.03   0.00  0.38  0.00 1024  119  1.00  0.40 
   41   0.02   0.00  0.40  0.00 1021   96  1.00  0.40 
   42   0.00   0.00  0.42  0.00  949  104  1.00  0.40 
   43  -0.02   0.00  0.43  0.00  991  101  1.00  0.40 
