gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00 1000  100  1.00  0.40 
    2  -0.00   0.01  0.01  0.01  981  103  1.00  0.40 
    3   0.00   0.00  0.01  0.00 1016  100  1.00  0.40 
    4   0.01   0.00  0.01  0.00 1002  105  1.00  0.40 
    5   0.01   0.01  0.02  0.01  995  108  1.00  0.40 
    6   0.01   0.02  0.03  0.03 1043   99  1.00  0.40 
    7   0.00   0.01  0.04  0.03 1022   88  1.00  0.40 
    8   0.01   0.01  0.03  0.05  963  103  1.00  0.40 
    9   0.01   0.01  0.04  0.03 1008   90  1.00  0.40 
   10   0.01   0.01  0.04  0.02  973   98  1.00  0.40 
   11   0.01   0.01  0.05  0.02 1020  103  1.00  0.40 
   12   0.01   0.03  0.05  0.04 1024  104  1.00  0.40 
   13   0.01   0.02  0.07  0.02  999   90  1.00  0.40 
   14  -0.00   0.02  0.08  0.02 1032  102  1.00  0.40 
   15  -0.01   0.01  0.09  0.01  987   99  1.00  0.40 
   16  -0.01   0.01  0.09  0.01 1015  107  1.00  0.40 
   17  -0.02   0.00  0.10  0.02 1040   96  1.00  0.40 
   18  -0.03   0.02  0.12  0.02 1003   96  1.00  0.40 
   19  -0.03   0.01  0.13  0.01  995  103  1.00  0.40 
   20  -0.02   0.00  0.15  0.00  995   90  1.00  0.40 
   21  -0.02   0.00  0.18  0.00 1017   97  1.00  0.40 
   22  -0.02   0.00  0.19  0.00 1028   89  1.00  0.40 
   23  -0.04   0.00  0.19  0.00 1035   96  1.00  0.40 
   24  -0.05   0.00  0.20  0.00 1023   94  1.00  0.40 
   25  -0.05   0.00  0.20  0.00  949   92  1.00  0.40 
   26  -0.07   0.00  0.22  0.00  969   96  1.00  0.40 
   27  -0.05   0.00  0.23  0.00  999   98  1.00  0.40 
   28  -0.03   0.00  0.23  0.00 1047  106  1.00  0.40 
   29  -0.04   0.00  0.24  0.00 1038  104  1.00  0.40 
   30  -0.02   0.00  0.24  0.00 1014   98  1.00  0.40 
   31  -0.02   0.00  0.26  0.00 1005  105  1.00  0.40 
   32  -0.04   0.00  0.28  0.00  990  113  1.00  0.40 
